case,P,precision,near_radius2,K_max,virtual_depth,baseline_ns,promoted_config_ns,oracle_ns,selector_ns,selector_decision,oracle_decision,selector_gap_fraction,capacity_bytes,refresh_items,complete_solve_delta_fraction
multiscale,4,Float32,5,32,0,4194.998116,38745.741094,4194.998116,4194.998116,direct_fallback,direct,0.000000000,0,0,0.000000000
multiscale,8,Float64,5,32,0,8389.996232,193484.797784,8389.996232,8389.996232,direct_fallback,direct,0.000000000,0,0,0.000000000
multiscale,8,Float32,5,32,0,4194.998116,96742.398892,4194.998116,4194.998116,direct_fallback,direct,0.000000000,0,0,0.000000000
multiscale,4,Float64,5,32,1,8389.996232,4620715.347086,8389.996232,8389.996232,direct_fallback,direct,0.000000000,63232,988,0.000000000
multiscale,4,Float32,5,32,1,4194.998116,2310357.673543,4194.998116,4194.998116,direct_fallback,direct,0.000000000,47424,988,0.000000000
multiscale,8,Float64,5,32,1,8389.996232,2861266.430478,8389.996232,8389.996232,direct_fallback,direct,0.000000000,63232,988,0.000000000
multiscale,8,Float32,5,32,1,4194.998116,1430633.215239,4194.998116,4194.998116,direct_fallback,direct,0.000000000,47424,988,0.000000000
multiscale,4,Float64,5,32,2,8389.996232,12161892.320072,8389.996232,8389.996232,direct_fallback,direct,0.000000000,142272,2223,0.000000000
multiscale,4,Float32,5,32,2,4194.998116,6080946.160036,4194.998116,4194.998116,direct_fallback,direct,0.000000000,106704,2223,0.000000000
multiscale,8,Float64,5,32,2,8389.996232,5125037.078448,8389.996232,8389.996232,direct_fallback,direct,0.000000000,142272,2223,0.000000000
multiscale,8,Float32,5,32,2,4194.998116,2562518.539224,4194.998116,4194.998116,direct_fallback,direct,0.000000000,106704,2223,0.000000000
multiscale,4,Float64,5,32,3,8389.996232,13678495.426246,8389.996232,8389.996232,direct_fallback,direct,0.000000000,168000,2625,0.000000000
multiscale,4,Float32,5,32,3,4194.998116,6839247.713123,4194.998116,4194.998116,direct_fallback,direct,0.000000000,126000,2625,0.000000000
multiscale,8,Float64,5,32,3,8389.996232,5396697.013150,8389.996232,8389.996232,direct_fallback,direct,0.000000000,168000,2625,0.000000000
multiscale,8,Float32,5,32,3,4194.998116,2698348.506575,4194.998116,4194.998116,direct_fallback,direct,0.000000000,126000,2625,0.000000000
sigma_multiscale,4,Float64,5,32,0,24681.789478,199179.545382,24681.789478,24681.789478,direct_fallback,direct,0.000000000,0,0,0.000000000
sigma_multiscale,4,Float32,5,32,0,12340.894739,99589.772691,12340.894739,12340.894739,direct_fallback,direct,0.000000000,0,0,0.000000000
sigma_multiscale,8,Float64,5,32,0,24681.789478,245410.681655,24681.789478,24681.789478,direct_fallback,direct,0.000000000,0,0,0.000000000
sigma_multiscale,8,Float32,5,32,0,12340.894739,122705.340828,12340.894739,12340.894739,direct_fallback,direct,0.000000000,0,0,0.000000000
sigma_multiscale,4,Float64,5,32,1,24681.789478,8375776.068584,24681.789478,24681.789478,direct_fallback,direct,0.000000000,56512,883,0.000000000
sigma_multiscale,4,Float32,5,32,1,12340.894739,4187888.034292,12340.894739,12340.894739,direct_fallback,direct,0.000000000,42384,883,0.000000000
sigma_multiscale,8,Float64,5,32,1,24681.789478,6406837.591180,24681.789478,24681.789478,direct_fallback,direct,0.000000000,56512,883,0.000000000
sigma_multiscale,8,Float32,5,32,1,12340.894739,3203418.795590,12340.894739,12340.894739,direct_fallback,direct,0.000000000,42384,883,0.000000000
sigma_multiscale,4,Float64,5,32,2,24681.789478,19793237.106226,24681.789478,24681.789478,direct_fallback,direct,0.000000000,138624,2166,0.000000000
sigma_multiscale,4,Float32,5,32,2,12340.894739,9896618.553113,12340.894739,12340.894739,direct_fallback,direct,0.000000000,103968,2166,0.000000000
sigma_multiscale,8,Float64,5,32,2,24681.789478,13075123.321342,24681.789478,24681.789478,direct_fallback,direct,0.000000000,138624,2166,0.000000000
sigma_multiscale,8,Float32,5,32,2,12340.894739,6537561.660671,12340.894739,12340.894739,direct_fallback,direct,0.000000000,103968,2166,0.000000000
sigma_multiscale,4,Float64,5,32,3,24681.789478,22519124.710497,24681.789478,24681.789478,direct_fallback,direct,0.000000000,169472,2648,0.000000000
sigma_multiscale,4,Float32,5,32,3,12340.894739,11259562.355248,12340.894739,12340.894739,direct_fallback,direct,0.000000000,127104,2648,0.000000000
sigma_multiscale,8,Float64,5,32,3,24681.789478,14270069.991962,24681.789478,24681.789478,direct_fallback,direct,0.000000000,169472,2648,0.000000000
sigma_multiscale,8,Float32,5,32,3,12340.894739,7135034.995981,12340.894739,12340.894739,direct_fallback,direct,0.000000000,127104,2648,0.000000000
